@relation bank

@attribute age numeric
@attribute sex {FEMALE,MALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income numeric
@attribute married {NO,YES}
@attribute children numeric
@attribute car {NO,YES}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}

@data
38,FEMALE,SUBURBAN,31290.6,YES,0,NO,YES,YES,NO,?
67,FEMALE,SUBURBAN,24858.4,YES,0,NO,NO,YES,YES,?
40,MALE,INNER_CITY,16398.8,NO,1,NO,YES,YES,NO,?
25,FEMALE,SUBURBAN,23287.9,NO,0,NO,NO,YES,YES,?
57,FEMALE,RURAL,50897.6,YES,0,NO,YES,YES,NO,?
32,FEMALE,INNER_CITY,22446.5,NO,1,NO,NO,YES,YES,?
44,MALE,SUBURBAN,23092.1,YES,0,YES,NO,YES,YES,?
30,MALE,TOWN,24867.6,YES,0,YES,YES,NO,NO,?
43,MALE,TOWN,22234.7,YES,0,NO,NO,YES,YES,?
19,FEMALE,INNER_CITY,17371.1,YES,2,YES,YES,YES,NO,?
37,FEMALE,TOWN,29574,YES,0,YES,YES,YES,NO,?
49,MALE,INNER_CITY,17944.2,NO,1,YES,YES,YES,YES,?
49,FEMALE,RURAL,33665.5,NO,3,YES,NO,YES,NO,?
40,MALE,INNER_CITY,36166.2,YES,0,NO,NO,NO,NO,?
33,FEMALE,SUBURBAN,27712.9,NO,2,NO,YES,YES,NO,?
39,MALE,TOWN,22400.7,YES,2,YES,YES,YES,NO,?
43,FEMALE,INNER_CITY,28469.9,YES,0,YES,YES,YES,NO,?
37,MALE,TOWN,30488,YES,0,NO,YES,YES,YES,?
24,FEMALE,TOWN,19160.3,YES,1,YES,YES,YES,NO,?
62,MALE,TOWN,45342.5,YES,0,YES,YES,NO,NO,?
18,MALE,INNER_CITY,6294.21,NO,0,NO,YES,YES,YES,?
47,FEMALE,TOWN,25127.7,YES,0,YES,NO,NO,NO,?
63,MALE,SUBURBAN,51879.3,YES,2,YES,YES,NO,YES,?
20,MALE,TOWN,12644.9,YES,2,YES,NO,YES,YES,?
46,FEMALE,TOWN,21984.4,NO,3,NO,YES,NO,NO,?
47,FEMALE,RURAL,29093.1,NO,2,YES,YES,YES,NO,?
33,MALE,TOWN,23528.4,YES,1,NO,YES,YES,YES,?
20,MALE,TOWN,9516.91,NO,3,YES,YES,YES,NO,?
20,MALE,INNER_CITY,18364.9,YES,1,NO,NO,YES,NO,?
43,FEMALE,TOWN,31273.8,NO,1,YES,YES,NO,NO,?
58,MALE,RURAL,49673.6,YES,0,NO,YES,YES,NO,?
29,MALE,SUBURBAN,12623.4,YES,1,YES,YES,YES,NO,?
25,MALE,INNER_CITY,23818.6,YES,0,NO,NO,NO,NO,?
40,FEMALE,INNER_CITY,31473.9,NO,2,NO,YES,YES,YES,?
48,MALE,TOWN,20268,YES,0,NO,YES,YES,NO,?
65,MALE,SUBURBAN,51417,YES,2,NO,YES,YES,NO,?
59,FEMALE,RURAL,30971.8,YES,3,YES,YES,YES,YES,?
61,FEMALE,INNER_CITY,47025,NO,2,YES,YES,YES,YES,?
30,FEMALE,INNER_CITY,9672.25,YES,0,YES,YES,YES,NO,?
31,FEMALE,TOWN,15976.3,YES,0,YES,YES,NO,NO,?
29,MALE,INNER_CITY,14711.8,YES,0,NO,YES,NO,YES,?
38,MALE,TOWN,26671.6,NO,0,YES,NO,YES,YES,?
